Basin,Name,Date,Time,Indicator,Status,Latitude,Longitude,Max_Wind_Speed,Min_Pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW,Radius_Max_Wind,Year,Prev_Latitude,Prev_Longitude,Prev_In_Florida,Curr_In_Florida,Landfall_Detected
AL011941,UNNAMED,19410911,0,,TD,27.1,-86.7,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1941,49.2,-41.0,False,True,True
AL051941,UNNAMED,19411006,1000,L,HU,25.5,-80.2,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1941,25.1,-79.1,False,True,True
AL061941,UNNAMED,19411018,600,,TD,24.7,-83.4,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1941,24.2,-82.6,False,True,True
AL021942,UNNAMED,19420818,1800,,TS,25.4,-87.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1942,24.0,-87.0,False,True,True
AL131944,UNNAMED,19441018,2100,L,HU,24.6,-82.9,105,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1944,24.0,-82.9,False,True,True
AL011945,UNNAMED,19450622,1200,,TS,24.5,-86.5,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1945,23.8,-86.4,False,True,True
AL071945,UNNAMED,19450904,1800,,TS,25.5,-82.0,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1945,24.4,-82.1,False,True,True
AL091945,UNNAMED,19450915,1800,,HU,25.1,-80.0,115,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1945,24.2,-78.6,False,True,True
AL011946,UNNAMED,19460613,1200,,TD,27.5,-86.5,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1946,39.0,-32.2,False,True,True
AL061946,UNNAMED,19461007,1800,,HU,25.4,-83.3,80,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1946,23.7,-83.6,False,True,True
AL071946,UNNAMED,19461101,2200,L,TS,26.6,-80.1,40,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1946,25.8,-79.3,False,True,True
AL031947,UNNAMED,19470820,1800,,TS,24.6,-87.3,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1947,24.4,-87.0,False,True,True
AL041947,UNNAMED,19470917,1630,L,HU,26.1,-80.1,115,943,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1947,26.3,-79.5,False,True,True
AL051947,UNNAMED,19470907,0,,TD,27.7,-85.6,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1947,38.0,-91.5,False,True,True
AL061947,UNNAMED,19470922,1800,,TS,24.7,-83.4,50,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1947,23.8,-83.4,False,True,True
AL071947,UNNAMED,19471007,0,,TS,30.2,-80.0,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1947,28.8,-78.6,False,True,True
AL091947,UNNAMED,19471012,0,,HU,25.2,-81.8,80,975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1947,24.3,-82.9,False,True,True
AL021948,UNNAMED,19480709,600,,TS,30.2,-87.4,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1948,29.2,-88.2,False,True,True
AL081948,UNNAMED,19480921,1700,L,HU,24.6,-81.6,105,955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1948,24.0,-81.7,False,True,True
AL091948,UNNAMED,19481005,1800,L,HU,24.7,-81.2,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1948,23.5,-82.3,False,True,True
AL021949,UNNAMED,19490826,2300,L,HU,26.6,-80.0,115,954,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1949,25.9,-79.0,False,True,True
AL051950,EASY,19500903,1800,,HU,24.9,-82.6,75,980,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1950,23.8,-82.3,False,True,True
AL111950,KING,19501018,0,,HU,24.7,-79.8,105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1950,24.0,-79.5,False,True,True
AL131950,LOVE,19501020,1200,,HU,26.0,-87.3,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1950,25.7,-88.3,False,True,True
AL091951,HOW,19510930,1200,,TD,24.5,-87.5,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,23.9,-87.4,False,True,True
