Basin,Name,Date,Time,Indicator,Status,Latitude,Longitude,Max_Wind_Speed,Min_Pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW,Radius_Max_Wind,Year,In_Florida
AL071998,GEORGES,19980925,1530,L,HU,24.5,-81.8,90,981,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,1998,True
AL131998,MITCH,19981105,1100,L,TS,26.2,-81.9,55,989,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1998,True
AL101999,HARVEY,19990921,1700,L,TS,25.9,-81.7,50,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1999,True
AL131999,IRENE,19991015,1300,L,HU,24.6,-81.6,65,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1999,True
AL131999,IRENE,19991015,2000,L,HU,25.3,-81.1,70,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,1999,True
AL112000,GORDON,20000918,300,L,TS,29.3,-83.2,55,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2000,True
AL122000,HELENE,20000922,1200,L,TS,30.5,-86.6,35,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2000,True
AL032001,BARRY,20010806,500,L,TS,30.4,-86.3,60,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2001,True
AL082001,GABRIELLE,20010914,1200,L,TS,27.1,-82.6,60,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2001,True
AL052002,EDOUARD,20020905,45,L,TS,29.4,-81.1,35,1009,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2002,True
AL122003,HENRI,20030906,900,L,TD,27.9,-82.8,30,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2003,True
AL022004,BONNIE,20040812,1400,L,TS,29.6,-85.1,40,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2004,True
AL032004,CHARLEY,20040813,1945,L,HU,26.6,-82.2,130,941,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,2004,True
AL032004,CHARLEY,20040813,2045,L,HU,26.9,-82.1,125,942,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,2004,True
AL062004,FRANCES,20040905,430,L,HU,27.2,-80.2,90,960,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,2004,True
